surveyID_pk,organization,startDate,startQuartal,endDate,endQuartal,sampleSize,sampleSizeCategorie,votersType,approve,approveCategorie,disapprove,disapproveCategorie,unsure,approveDemocrats,democratsApproveCategorie,approveRepublicans,republicanApproveCategorie,text,url
1,YouGov/Economist,2018-07-15,3. quarter,2017-07-17,3. quarter,1500,high,adults,37,minority,30,minority,33,62,majority,17,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7hxorevceh/econTabReport.pdf
2,Morning Consult,2017-07-20,3. quarter,2017-07-24,3. quarter,3981,runaway,registered voters,40,minority,27,minority,33,53,majority,31,minority,As you may know, the U.S. Department of Justice appointed Robert Mueller as the special counsel to investigate any alleged coordination between the Russian government and Donald Trumps 2016 presidential campaign. Based on what you know, do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://morningconsult.com/wp-content/uploads/2017/07/170708_crosstabs_Politico_v1_TB.pdf
3,YouGov/HuffPost,2017-10-30,4. quarter,2017-10-31,4. quarter,1000,medium,adults,39,minority,26,minority,34,60,majority,25,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,http://big.assets.huffingtonpost.com/tabsHPRussiaIndictments20171030.pdf
4,Washington Post/ABC News,2017-10-29,4. quarter,2017-11-01,4. quarter,1005,medium,adults,58,majority,28,minority,14,78,majority,38,minority,A special counsel at the U.S. Justice Department, Robert Mueller, has been investigating possible ties between Trumps campaign and the Russian government. Do you approve or disapprove of the way Mueller is handling this investigation?,https://www.washingtonpost.com/politics/polling/department-justice-mueller-russian/2017/11/16/3d2002d2-bff7-11e7-9294-705f80164f6e_page.html
5,YouGov/HuffPost,2017-12-01,4. quarter,2017-12-02,4. quarter,1000,medium,adults,36,minority,28,minority,35,58,majority,17,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,http://big.assets.huffingtonpost.com/tabsHPMichaelFlynn20171201.pdf
6,YouGov/Economist,2017-12-03,4. quarter,2017-12-05,4. quarter,1500,high,adults,36,minority,25,minority,38,61,majority,22,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jhdmzhxe6k/econTabReport.pdf
7,CNN/SSRS,2017-12-14,4. quarter,2017-12-17,4. quarter,1001,medium,adults,47,minority,34,minority,19,63,majority,31,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2017/images/12/21/rel12c.-.russia.pdf
8,CNN/SSRS,2018-01-14,1. quarter,2018-01-18,1. quarter,1005,medium,adults,47,minority,33,minority,20,68,majority,26,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/01/23/rel1f.-.russia.pdf
9,Washington Post/ABC News,2018-01-15,1. quarter,2018-01-18,1. quarter,1005,medium,adults,50,minority,31,minority,19,71,majority,28,minority,A special counsel at the U.S. Justice Department, Robert Mueller, has been investigating possible ties between Trumps presidential campaign and the Russian govt. Do you approve or disapprove of the way he is handling investigation?,https://www.washingtonpost.com/politics/polling/department-justice-mueller-russian/2018/01/29/27f3887a-fe68-11e7-9b5d-bbf0da31214d_page.html
10,YouGov/HuffPost,2018-01-23,1. quarter,2018-01-24,1. quarter,1000,medium,adults,37,minority,25,minority,38,59,majority,25,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,http://big.assets.huffingtonpost.com/tabsHPRussiainvestigation20180123.pdf
11,YouGov/HuffPost,2018-01-26,1. quarter,2018-01-27,1. quarter,1000,medium,adults,34,minority,26,minority,39,58,majority,18,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,http://big.assets.huffingtonpost.com/tabsHPMuellerinvestigation20180126.pdf
12,YouGov/Economist,2018-01-28,1. quarter,2018-01-30,1. quarter,1500,high,adults,34,minority,29,minority,37,57,majority,18,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/81kgdte5zw/econTabReport.pdf
13,YouGov/Economist,2018-02-18,1. quarter,2018-02-20,1. quarter,1500,high,adults,39,minority,25,minority,36,62,majority,23,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/57yxejgrmo/econTabReport.pdf
14,CNN/SSRS,2018-02-20,1. quarter,2018-02-23,1. quarter,1016,medium,adults,37,minority,33,minority,21,66,majority,28,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/02/26/rel3c.-.russia.pdf
15,YouGov/Economist,2018-03-10,1. quarter,2018-03-13,1. quarter,1500,high,adults,37,minority,27,minority,36,57,majority,20,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/y3tke5cxwy/econTabReport.pdf
16,Morning Consult,2018-03-15,1. quarter,2018-03-19,1. quarter,1994,runaway,registered voters,45,minority,27,minority,27,62,majority,35,minority,As you may know, the U.S. Department of Justice appointed Robert Mueller as special counsel to investigate any alleged coordination between the Russian government and Donald Trumps 2016 presidential campaign. Based on what you know, do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://morningconsult.com/wp-content/uploads/2018/03/180322_crosstabs_POLITICO_v1_DK.pdf
17,CNN/SSRS,2018-03-22,1. quarter,2018-03-25,1. quarter,1014,medium,adults,38,minority,35,minority,17,69,majority,29,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,https://cdn.cnn.com/cnn/2018/images/03/27/rel4b-north.korea2c.russia.pdf
18,YouGov/Economist,2018-04-15,2. quarter,2018-04-17,2. quarter,1500,high,adults,37,minority,29,minority,33,61,majority,19,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4l31gznvf1/econTabReport.pdf
19,CNN/SSRS,2018-05-02,2. quarter,2018-05-05,2. quarter,1015,medium,adults,44,minority,38,minority,18,64,majority,17,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/05/10/rel5f.-.russia.pdf
20,YouGov/Economist,2018-05-06,2. quarter,2018-05-08,2. quarter,1500,high,adults,36,minority,30,minority,34,63,majority,14,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kwgrow0dna/econTabReport.pdf
21,YouGov/HuffPost,2018-05-10,2. quarter,2018-05-12,2. quarter,1000,medium,adults,38,minority,32,minority,30,70,majority,19,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,https://big.assets.huffingtonpost.com/athena/files/2018/05/15/5afb49bbe4b0a59b4dfe6ddd.pdf
22,YouGov/Economist,2018-05-27,2. quarter,2018-05-29,2. quarter,1500,high,adults,38,minority,31,minority,31,68,majority,16,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/v00h5ts0qm/econTabReport.pdf
23,Fox News,2018-06-03,2. quarter,2018-06-06,2. quarter,1001,medium,registered voters,55,majority,37,minority,8,84,majority,23,minority,Do you approve or disapprove of Robert Muellers investigation of the Trump campaigns ties with Russia and potential obstruction of justice charges against members of the Trump administration?,https://www.foxnews.com/politics/fox-news-poll-results-6-14-18
24,YouGov/Economist,2018-06-10,2. quarter,2018-06-12,2. quarter,1500,high,adults,23,minority,30,minority,36,66,majority,13,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0kj6rhpqso/econTabReport.pdf
25,CNN/SSRS,2018-06-14,2. quarter,2018-06-17,2. quarter,1012,medium,adults,41,minority,39,minority,21,62,majority,20,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/06/21/rel6f.-.russia.investigation.pdf
26,YouGov/Economist,2018-06-17,2. quarter,2018-06-19,2. quarter,1500,high,adults,35,minority,29,minority,36,64,majority,16,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/rbrysksiud/econTabReport.pdf
27,YouGov/Economist,2018-06-27,2. quarter,2018-07-02,3. quarter,1473,high,adults,49,minority,45,minority,4,76,majority,20,minority,Do you approve or disapprove of the way U.S. Justice Department special counsel Robert Mueller is handling the investigation into possible ties between Trumps presidential campaign and the Russian government?,https://www.washingtonpost.com/politics/polling/department-justice-mueller-russian/2018/07/11/09a17592-8123-11e8-b3b5-b61896f90919_page.html
28,Fox News,2018-07-09,3. quarter,2018-07-11,3. quarter,1007,medium,registered voters,48,minority,40,minority,12,72,majority,25,minority,Do you approve or disapprove of Robert Muellers investigation of the Trump campaigns ties with Russia and potential obstruction of justice charges against members of the Trump administration?,https://www.foxnews.com/politics/fox-news-poll-7-12
29,YouGov/HuffPost,2018-07-13,3. quarter,2018-07-14,3. quarter,1000,medium,adults,36,minority,33,minority,30,66,majority,18,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,https://big.assets.huffingtonpost.com/athena/files/2018/07/16/5b4ce38be4b0e7c958fe3ea5.pdf
30,YouGov/Economist,2018-07-22,3. quarter,2018-07-24,3. quarter,1500,high,adults,35,minority,30,minority,15,62,majority,15,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wa3gpxn761/econTabReport.pdf
31,YouGov/Economist,2018-07-29,3. quarter,2018-07-31,3. quarter,1500,high,adults,36,minority,32,minority,31,65,majority,16,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fw0vfdqfpc/econTabReport.pdf
32,YouGov/Economist,2018-08-05,3. quarter,2018-08-07,3. quarter,1500,high,adults,35,minority,32,minority,33,61,majority,15,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/q6cfmfwwh4/econTabReport.pdf
33,CNN/SSRS,2018-08-09,3. quarter,2018-08-12,3. quarter,1002,medium,adults,47,minority,39,minority,31,72,majority,22,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/08/13/rel7a.-.trump2c.russia.pdf
34,YouGov/Economist,2018-08-12,3. quarter,2018-08-14,3. quarter,1500,high,adults,38,minority,31,minority,32,65,majority,21,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6ote18t1hm/econTabReport.pdf
35,Fox News,2018-08-19,3. quarter,2018-08-21,3. quarter,1009,medium,registered voters,59,majority,37,minority,4,84,majority,26,minority,Do you approve or disapprove of Robert Muellers investigation of the Trump campaigns ties with Russia and potential obstruction of justice charges against members of the Trump administration?,https://www.foxnews.com/politics/fox-news-poll-8-22
36,YouGov/Economist,2018-08-26,3. quarter,2018-08-28,3. quarter,1500,high,adults,34,minority,31,minority,35,65,majority,15,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/krhk8brhhw/econTabReport.pdf
37,YouGov/Economist,2018-09-02,3. quarter,2018-09-04,3. quarter,1500,high,adults,39,minority,29,minority,30,68,majority,13,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/22joa4cprz/econTabReport.pdf
38,CNN/SSRS,2018-09-06,3. quarter,2018-09-09,3. quarter,1003,medium,adults,50,minority,38,minority,12,73,majority,23,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/09/11/rel8c.-.russia,.cohen,.impeachment.pdf
39,YouGov/Economist,2018-09-16,3. quarter,2018-09-18,3. quarter,1500,high,adults,42,minority,32,minority,26,68,majority,23,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9th9okzc75/econTabReport.pdf
40,Fox News,2018-09-16,3. quarter,2018-09-19,3. quarter,1003,medium,registered voters,55,majority,39,minority,7,82,majority,25,minority,Do you approve or disapprove of Robert Muellers investigation of the Trump campaigns ties with Russia and potential obstruction of justice charges against members of the Trump administration?,https://www.foxnews.com/politics/fox-news-poll-9-23
41,CNN/SSRS,2018-10-04,4. quarter,2018-10-07,4. quarter,1009,medium,adults,48,minority,36,minority,16,73,majority,23,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/10/11/rel9c.-.trump.and.russia.pdf
42,YouGov/Economist,2018-12-02,4. quarter,2018-12-04,4. quarter,1500,high,adults,38,minority,31,minority,30,70,majority,16,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/yoolhxrark/econTabReport.pdf
43,CNN/SSRS,2018-12-06,4. quarter,2018-12-09,4. quarter,1015,medium,adults,43,minority,40,minority,16,71,majority,21,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/12/10/rel12a.-.trump.and.russia.pdf
44,Fox News,2018-12-09,4. quarter,2018-12-11,4. quarter,1006,medium,registered voters,56,majority,37,minority,7,82,majority,27,minority,Do you approve or disapprove of Robert Muellers investigation of the Trump campaigns ties with Russia and potential obstruction of justice charges against members of the Trump administration?,https://www.foxnews.com/politics/fox-news-poll-document-12-12-18
45,YouGov/Economist,2018-12-09,4. quarter,2018-12-11,4. quarter,1500,high,adults,41,minority,33,minority,26,68,majority,21,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ppsei7g0oq/econTabReport.pdf
46,Quinnipiac,2018-12-12,4. quarter,2018-12-17,4. quarter,1147,medium,registered voters,45,minority,38,minority,17,72,majority,17,minority,Do you approve or disapprove of the way that Special Counsel Robert Mueller is handling his job?,https://poll.qu.edu/national/release-detail?ReleaseID=2591
47,Fox News,2019-01-20,1. quarter,2019-01-22,1. quarter,1008,medium,registered voters,49,minority,34,minority,17,80,majority,21,minority,Do you approve or disapprove of Robert Muellers investigation of the Trump campaigns ties with Russia and potential obstruction of justice charges against members of the Trump administration?,https://www.foxnews.com/politics/fox-news-poll-document-1-23-19
48,YouGov/Economist,2019-01-20,1. quarter,2019-01-22,1. quarter,1500,high,adults,40,minority,30,minority,30,66,majority,22,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/183c0vbnai/econTabReport.pdf
49,CNN/SSRS,2019-01-30,1. quarter,2019-02-02,1. quarter,1011,medium,adults,44,minority,41,minority,15,67,majority,20,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2019/images/02/07/rel2c.-.russia.pdf
50,YouGov/HuffPost,2019-02-07,1. quarter,2019-02-08,1. quarter,1000,medium,adults,36,minority,33,minority,31,63,majority,16,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,https://big.assets.huffingtonpost.com/athena/files/2019/02/13/5c6446b4e4b08da0ec8141f3.pdf
51,YouGov/Economist,2019-02-06,1. quarter,2019-02-10,1. quarter,841,low,adults,51,majority,34,minority,15,77,majority,22,minority,As you may know, special counsel Robert Mueller is investigating Russias role in the 2016 election and its possible ties with Donald Trumps presidential campaign. Do you approve or disapprove of the way Mueller is handling this investigation? Do you approve/disapprove strongly or somewhat?,https://drive.google.com/file/d/1JWqPDt4hMKpZ9hpCAq2pzrOZki-NwSHN/view
52,YouGov/Economist,2019-02-24,1. quarter,2019-02-26,1. quarter,1500,high,adults,40,minority,30,minority,30,62,majority,22,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/oo6kz6sf4b/econTabReport.pdf
53,YouGov/Economist,2019-03-03,1. quarter,2019-03-05,1. quarter,1500,high,adults,37,minority,34,minority,28,65,majority,15,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9d5s05pspt/econTabReport.pdf
54,CNN/SSRS,2019-03-14,1. quarter,2019-03-17,1. quarter,1003,medium,adults,48,minority,37,minority,15,75,majority,20,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2019/images/03/20/rel4c.-.trump.and.russia.pdf
55,Fox News,2019-03-17,1. quarter,2019-03-20,1. quarter,1002,medium,registered voters,52,majority,36,minority,12,82,majority,23,minority,Do you approve or disapprove of Robert Muellers investigation of the Trump campaigns ties with Russia and potential obstruction of justice charges against members of the Trump administration?,https://www.foxnews.com/politics/fox-news-poll-3-24-2019
56,YouGov/Economist,2019-03-24,1. quarter,2019-03-26,1. quarter,1500,high,adults,48,minority,25,minority,27,72,majority,35,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6ujvi5p8z1/econTabReport.pdf
57,Marist,2019-03-25,1. quarter,2019-03-27,1. quarter,938,low,adults,51,majority,27,minority,22,53,majority,47,minority,Do you approve or disapprove of the job Robert Mueller did as special counsel investigating possible wrongdoing and Russian interference in the 2016 election?,http://maristpoll.marist.edu/wp-content/uploads/2019/03/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_1903251153.pdf
58,YouGov/HuffPost,2019-03-25,1. quarter,2019-03-27,1. quarter,1000,medium,adults,43,minority,27,minority,30,51,majority,44,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,https://big.assets.huffingtonpost.com/athena/files/2019/03/28/5c9d2beee4b00ba632795d13.pdf
59,YouGov/Economist,2019-03-26,1. quarter,2019-03-29,1. quarter,640,low,adults,53,majority,30,minority,17,62,majority,46,minority,As you may know, special counsel Robert Mueller has completed his investigation of Russias role in the 2016 election and its possible ties with Donald Trumps presidential campaign. Do you approve or disapprove of the way Mueller handled this investigation? Do you approve/disapprove strongly or somewhat?,https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2019/03/30/National-Politics/Polling/question_21323.xml
60,YouGov/Economist,2019-03-31,1. quarter,2019-04-02,2. quarter,1500,high,adults,48,minority,25,minority,27,63,majority,42,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/t1fl59zsim/econTabReport.pdf
61,YouGov/Economist,2019-04-13,2. quarter,2019-04-16,2. quarter,1500,high,adults,45,minority,23,minority,32,62,majority,35,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/egvqvgp5a7/econTabReport.pdf
62,YouGov/HuffPost,2019-04-18,2. quarter,2019-04-19,2. quarter,1000,medium,adults,44,minority,28,minority,27,59,majority,39,minority,Do you approve or disapprove of the way Robert Mueller has handled his job as special counsel on the Russia probe?,https://big.assets.huffingtonpost.com/athena/files/2019/04/22/5cbe11f6e4b0f7a84a73723d.pdf
63,YouGov/Economist,2019-04-21,2. quarter,2019-04-23,2. quarter,1500,high,adults,47,minority,27,minority,26,64,majority,37,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/75p17530i6/econTabReport.pdf
64,CNN/SSRS,2019-04-25,2. quarter,2019-04-28,2. quarter,1007,medium,adults,59,majority,30,minority,11,69,majority,50,minority,Do you approve or disapprove of the way Robert Mueller handled the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2019/images/04/30/rel6c.-.mueller.report.pdf
65,Marist,2019-04-24,2. quarter,2019-04-29,2. quarter,1017,medium,adults,54,majority,26,minority,20,61,majority,47,minority,Do you approve or disapprove of the job Robert Mueller did as special counsel investigating possible wrongdoing and Russian interference in the 2016 election?,http://maristpoll.marist.edu/wp-content/uploads/2019/04/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_1904301401.pdf
